tN,N,nS,Phi_avg,Phi_min,Bmax,lam,kappa,opt_time,opt_calls,status
200, 506, 7, 6.9, 0.4, 3.55, 1e+07, 1e+00, 8, 53, C
200, 506, 8, 93.2, 81.7, 6.21, 1e+07, 1e+00, 211, 1403, C
220, 399, 1, 99.2, 99.2, 0.74, 1e+07, 1e+00, 7, 91, SF
220, 399, 2, 98.5, 98.0, 1.48, 1e+07, 1e+00, 15, 147, C
220, 557, 3, 99.6, 99.2, 1.40, 1e+07, 1e+00, 29, 195, SF
220, 557, 4, 94.8, 89.5, 1.37, 1e+07, 1e+00, 46, 271, C
220, 557, 5, 93.5, 84.7, 1.40, 1e+07, 1e+00, 38, 220, C
220, 557, 6, 97.1, 94.3, 2.33, 1e+07, 1e+00, 38, 244, C
220, 557, 7, 86.9, 63.0, 1.73, 1e+07, 1e+00, 26, 164, C
220, 557, 8, 96.7, 89.5, 3.35, 1e+07, 1e+00, 130, 798, C
240, 436, 1, 99.5, 99.5, 0.59, 1e+07, 1e+00, 7, 88, SF
240, 436, 2, 99.3, 99.2, 1.01, 1e+07, 1e+00, 15, 133, SF
240, 607, 3, 99.4, 99.2, 1.99, 1e+07, 1e+00, 24, 147, SF
240, 607, 4, 93.3, 84.8, 1.82, 1e+07, 1e+00, 90, 487, C
240, 607, 5, 98.7, 97.6, 2.07, 1e+07, 1e+00, 47, 255, C
240, 607, 6, 99.6, 99.1, 2.39, 1e+07, 1e+00, 71, 417, SF
240, 607, 7, 96.3, 86.2, 2.90, 1e+07, 1e+00, 100, 571, C
240, 607, 8, 98.3, 93.5, 2.94, 1e+07, 1e+00, 103, 584, C
260, 472, 1, 99.4, 99.4, 0.41, 1e+07, 1e+00, 8, 87, SF
260, 472, 2, 19.5, 17.3, 0.95, 1e+07, 1e+00, 7, 60, C
260, 658, 3, 99.4, 99.0, 1.16, 1e+07, 1e+00, 40, 235, C
260, 658, 4, 98.5, 97.5, 1.73, 1e+07, 1e+00, 63, 321, C
260, 658, 5, 99.2, 98.2, 2.08, 1e+07, 1e+00, 98, 486, C
260, 658, 6, 99.7, 99.0, 3.40, 1e+07, 1e+00, 64, 343, SF
260, 658, 7, 96.7, 94.0, 2.49, 1e+07, 1e+00, 57, 299, C
260, 658, 8, 99.2, 97.1, 3.04, 1e+07, 1e+00, 110, 583, C
280, 508, 1, 99.2, 99.2, 0.45, 1e+07, 1e+00, 8, 84, SF
280, 508, 2, 98.6, 97.9, 1.86, 1e+07, 1e+00, 25, 194, C
280, 708, 3, 99.2, 99.1, 1.27, 1e+07, 1e+00, 26, 138, SF
280, 708, 4, 99.4, 99.0, 2.79, 1e+07, 1e+00, 37, 176, SF
280, 708, 5, 99.1, 97.9, 2.89, 1e+07, 1e+00, 67, 318, C
280, 708, 6, 99.6, 99.1, 3.17, 1e+07, 1e+00, 84, 428, SF
280, 708, 7, 99.6, 99.1, 3.62, 1e+07, 1e+00, 114, 559, SF
280, 708, 8, 99.7, 99.0, 3.77, 1e+07, 1e+00, 96, 461, SF
300, 544, 1, 99.1, 99.1, 0.88, 1e+07, 1e+00, 8, 80, SF
300, 544, 2, 12.4, 1.5, 2.55, 1e+07, 1e+00, 10, 75, C
300, 759, 3, 1.9, 1.3, 1.07, 1e+07, 1e+00, 19, 96, C
300, 759, 4, 99.5, 99.0, 1.37, 1e+07, 1e+00, 63, 281, SF
300, 759, 5, 99.7, 99.1, 1.95, 1e+07, 1e+00, 89, 394, SF
300, 759, 6, 1.6, 0.0, 1.98, 1e+07, 1e+00, 14, 68, C
300, 759, 7, 99.6, 99.1, 2.29, 1e+07, 1e+00, 90, 418, SF
300, 759, 8, 97.4, 93.8, 2.05, 1e+07, 1e+00, 87, 401, C
320, 581, 1, 99.4, 99.4, 0.71, 1e+07, 1e+00, 13, 116, SF
320, 581, 2, 16.5, 4.9, 1.15, 1e+07, 1e+00, 9, 67, C
320, 810, 3, 99.4, 99.3, 2.44, 1e+07, 1e+00, 31, 145, SF
320, 810, 4, 9.9, 1.7, 0.18, 1e+07, 1e+00, 10, 44, C
320, 810, 5, 9.4, 3.9, 1.38, 1e+07, 1e+00, 17, 73, C
300, 759, 4, 99.5, 99.0, 1.54, 1e+07, 1e+01, 45, 202, SF
300, 759, 5, 16.9, 2.6, 3.97, 1e+07, 1e+01, 16, 71, C
300, 759, 6, 1.3, 0.1, 2.06, 1e+07, 1e+01, 16, 76, C
300, 759, 7, 98.6, 95.3, 1.89, 1e+07, 1e+01, 60, 279, C
300, 759, 8, 99.5, 99.0, 2.02, 1e+07, 1e+01, 63, 291, SF
350, 885, 4, 99.5, 99.0, 1.47, 1e+07, 1e+01, 60, 245, SF
350, 885, 5, 99.6, 99.0, 2.24, 1e+07, 1e+01, 55, 215, SF
350, 885, 6, 84.5, 58.8, 1.90, 1e+07, 1e+01, 31, 133, C
350, 885, 7, 72.5, 6.8, 0.85, 1e+07, 1e+01, 26, 109, C
350, 885, 8, 95.2, 90.0, 4.53, 1e+07, 1e+01, 52, 213, C
400, 1012, 4, 99.5, 99.1, 4.51, 1e+07, 1e+01, 92, 301, SF
400, 1012, 4, 99.5, 99.1, 4.51, 1e+07, 1e+01, 101, 301, SF
400, 1012, 4, 99.5, 99.1, 4.51, 1e+07, 1e+01, 82, 301, SF
400, 1012, 4, 99.5, 99.1, 4.51, 1e+07, 1e+01, 93, 301, SF
400, 1012, 4, 99.5, 99.0, 4.49, 1e+07, 1e+01, 77, 263, SF
400, 1012, 4, 99.5, 99.0, 4.49, 1e+07, 1e+01, 77, 263, SF
